x,c_err,q_err
3.535333e+05,0.000000e+00,6.568191e-04
5.767241e+05,0.000000e+00,9.635646e-04
1.023806e+05,7.449876e-08,1.550692e-03
4.907969e+05,0.000000e+00,8.490895e-04
3.675664e+05,7.057942e-08,9.506341e-04
6.340021e+05,9.269483e-08,1.598522e-03
7.682148e+05,1.020355e-07,1.099637e-03
3.256458e+05,0.000000e+00,1.331314e-04
7.915886e+05,0.000000e+00,8.061334e-04
6.874654e+05,0.000000e+00,1.736854e-03
8.915778e+05,0.000000e+00,6.815245e-06
2.874002e+05,0.000000e+00,2.733555e-04
2.806536e+05,6.167306e-08,5.112079e-04
1.263613e+05,0.000000e+00,5.720723e-04
4.362950e+05,0.000000e+00,1.576125e-03
2.414550e+05,0.000000e+00,1.281833e-03
8.608116e+05,0.000000e+00,7.528301e-05
2.225458e+05,0.000000e+00,4.283655e-06
9.010978e+05,0.000000e+00,4.110920e-05
9.644127e+04,7.230555e-08,1.281254e-03
8.588213e+05,0.000000e+00,8.749483e-05
4.184256e+05,0.000000e+00,1.592910e-03
7.517242e+05,0.000000e+00,1.290346e-03
9.815044e+05,0.000000e+00,1.740040e-03
7.974167e+05,1.039568e-07,7.317517e-04
6.345462e+05,0.000000e+00,1.602547e-03
8.304288e+05,0.000000e+00,3.359769e-04
3.101655e+05,0.000000e+00,2.139542e-06
2.369236e+04,7.167608e-08,1.169754e-03
5.924056e+05,0.000000e+00,1.173702e-03
8.364098e+05,0.000000e+00,2.739426e-04
3.772257e+05,0.000000e+00,1.136505e-03
1.691297e+05,0.000000e+00,1.749398e-03
9.387905e+05,1.127962e-07,5.194265e-04
8.680226e+05,0.000000e+00,3.796153e-05
5.366961e+05,8.528533e-08,4.022056e-04
5.727926e+05,0.000000e+00,9.084680e-04
6.362374e+05,0.000000e+00,1.614245e-03
8.623419e+05,1.081060e-07,6.637710e-05
3.643812e+05,0.000000e+00,8.855093e-04
3.237028e+05,0.000000e+00,1.074321e-04
7.539198e+05,0.000000e+00,1.266251e-03
6.517813e+05,9.398556e-08,1.700011e-03
6.043564e+05,0.000000e+00,1.318881e-03
8.802811e+05,0.000000e+00,2.949067e-06
8.807638e+04,6.909870e-08,6.308021e-04
8.458114e+05,0.000000e+00,1.858646e-04
7.410927e+05,0.000000e+00,1.401150e-03
3.106222e+05,0.000000e+00,3.114351e-06
7.469091e+05,0.000000e+00,1.341844e-03
8.375339e+05,0.000000e+00,2.627268e-04
1.694435e+05,0.000000e+00,1.749103e-03
1.653348e+05,0.000000e+00,1.732027e-03
5.892582e+05,0.000000e+00,1.133047e-03
